tweet,label
ga banget sumpah iuhh,disgust
gila gue takut banget kalau dia mutusin gue ekspresi takut,fear
omg itu saja yang bisa aku katakan,surprise
kapan sih episode baru rilis udah gak tahan pengin nonton kelanjutannya,anticipation
gejala flu ini bikin degdegan janganjangan kena covid,fear
salam dari minjai kok unnie tau salam ituu hey emang gak boleh ya kalo aku pake template apa pake t,anger
cabang salatiga sis hehe habis kesana senang banget dapet diskon bingkisan,joy
jgn apa kebanyakan diumbar melulu kalo gajadi malu gile,fear
tahun jeda aku berjalan cepat banget,surprise
lune ada yang mau fwa sama karina yang gak masalah agak bawel lee haechan get freepass,anticipation
kak sumpah klo upgrade dri hdd ke ssd tu gabakal ngehank gini gak si tabunganku cuma cukup buat upgrade itu tapi takut juga ada kebutuhan praktikum mendadak jadinya aku maju mundur mau upgrade,fear
malu kali nder,fear
takut lah tgk draw gp b ni ya allah,fear
masyarakat sekarang sudah pintarmereka memilih gk mikir koalisinya atau partenya tapi pribadi capres nyasoalnya percuma koalisi besar tapi cuman jadi petugas parte,disgust
wow penontonnya lantai foodcourt cc,surprise
takut sha,fear
yang jahat kenal yang baik yang baik kenal yang baik,trust
cari pasangan dlu,anticipation
ada gasih cara biar bisa langganan di n tflix langsung setahun gitu guys di yg official nya btw kalo ada tolo,anticipation
bau parfumnya aja bikin aku mual,disgust
ooo kamu kembali waktu yang baik dan argh itu menyakitkan xx benci sakit kepala,disgust
tidakooo sepanjang musim panas aku tidak akan melihat wajah menawanmu sepanjang musim panas,surprise
makan sambil ngomong bikin muncrat benerbener gak tahan ngeliatnya,disgust
ngeri bgt dah kek drama thriller psikopat,fear
buat yang suka skincare coba produk dari aku udah pakai sebulan dan hasilnya bagus banget trusted seller skincare,trust
degdegan banget hari ini ya ampun semoga lancarsinyal bisa kerjasama ya please tabletku jgn suka tiba no connection ya salam sehat waras semuanya,fear
lagi benci banget dengerin lagu bucin,anger
kadang ngemute dan block base ada gunanya,joy
skrg masih gitu ga ka sedih bgt,sadness
jarang bocor benda tajam takut nak dekat,fear
hidup di jogja dan naik kendaraan umum adalah sebuah keajaiban jadi jelas aku bawa kendaraan sendiri ekspresi senang ekspresi senang,joy
belum selesai peta pikiran bio mols bodoh lembaran menyembunyikan bagian dari saya di belakang,disgust
aku lebih takut liat bird japan ketemu bam,fear
namun untukku itu hal tabu dan ga baik untuk di lakukan apalagi dada itu aurat nya cewek hal sensitif nya cewek meskipun masih kecil itu ga bisa di lakukan kalo dilakukan terus menerus lama jadi biasa bagi yang melakukan dan bakal di bawa sampek dewasa sumpah itu ngeri,fear
